Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARG,,,,,,2.0,,,,,,,,,
AUS,,,,,,,1.0,,,,,,,,1.0
AUT,,,,,,,,,,1.0,,,2.0,2.0,
BEL,,,,,,,1.0,,,,,,,,
BGR,,,,,,,,,1.0,,,,,,
BRA,,,,,,,,10.0,,,,,1.0,1.0,
CAN,,,4.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,
CHE,1.0,,,,,1.0,,,,,1.0,1.0,,,
CHN,,,,,7.0,2.0,1.0,1.0,1.0,1.0,21.0,,3.0,3.0,
DEU,,,1.0,1.0,1.0,,,1.0,3.0,1.0,2.0,,2.0,1.0,
DNK,,,,,,,,,,,,,,,1.0
ESP,4.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,2.0,
EST,,,,,,,1.0,,,,,,,,
FIN,1.0,,,4.0,,,,,,,,,,,1.0
FRA,4.0,1.0,1.0,,,,3.0,2.0,1.0,,,,,,
GBR,2.0,,,1.0,,,9.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,
HUN,,,,,,,,,,9.0,,,1.0,1.0,
IND,,13.0,,1.0,,,,,,,,,,,
ISR,,,,,,,,,,1.0,,1.0,2.0,4.0,
ITA,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
JPN,,,1.0,,,,1.0,,,,,,,,
KOR,1.0,1.0,,,,,,1.0,,,,,,,
NLD,,,,,,,,,,1.0,,,5.0,5.0,2.0
NZL,,,,,,,,,,,,,1.0,,
PAK,,,,,,,,,,,,1.0,,,
PRT,,,,,,,,,,,,,,1.0,
ROU,,,,,,,,1.0,,1.0,,,,,
RUS,,,,,,,,,,1.0,,,,,
SAU,,,,,,,,1.0,,1.0,,,,,
SGP,,,,,,,,,,,,1.0,,,1.0
SWE,,,,,,,,,,1.0,,,1.0,1.0,
TUR,,,,,,,1.0,,,,,,,,
TWN,,,,1.0,1.0,,,,,,,,,,
USA,7.0,6.0,9.0,8.0,14.0,19.0,11.0,10.0,23.0,13.0,15.0,20.0,11.0,9.0,20.0
