Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,2.0,1.0,,,,,,,,,,1.0,,,1.0
BEL,,,,,,,,,,1.0,,1.0,1.0,,
BRA,,,,1.0,,,,,1.0,,1.0,,,,
CAN,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0
CHE,1.0,1.0,3.0,,1.0,2.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,,1.0
CHN,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,4.0,3.0,5.0,1.0,5.0
DEU,2.0,,,1.0,1.0,2.0,1.0,,,,3.0,1.0,2.0,1.0,2.0
ESP,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,,1.0,,,1.0,
EST,,,,,,,,,1.0,,,,,,
FRA,4.0,2.0,,1.0,,2.0,,,1.0,1.0,,1.0,,1.0,
GBR,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,,3.0,3.0,3.0,3.0,6.0,5.0
GRC,1.0,,1.0,,,,,,1.0,,,,,,
HUN,,,,,,,,,,,,,,1.0,
IND,2.0,3.0,1.0,3.0,2.0,1.0,,2.0,2.0,,,,2.0,,
IRL,1.0,,,,,,,,,,,,,,
ISR,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
ITA,3.0,,,,,,,,,,,,,,
JPN,1.0,,,,,,,,,,2.0,,,,
KOR,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0
NLD,,,,,,,,,,,,,,1.0,1.0
PAK,,,,,,,,,,,2.0,,1.0,,
ROU,,,,,,,,,,1.0,,1.0,,,
SAU,,,,,,,,,1.0,1.0,1.0,,,1.0,
SGP,,,1.0,1.0,,,,,1.0,,,,,,1.0
SWE,1.0,,,,,,,,,,1.0,,,,1.0
TWN,,,,,,1.0,,,,1.0,,,,,
USA,34.0,34.0,38.0,37.0,23.0,38.0,40.0,43.0,36.0,37.0,34.0,42.0,41.0,46.0,41.0
